Name          Accuracy  Classification error
----------  ----------  ------------------------------------------------------------------------------------------------
Một           0.642857  ['Bún Bò', 'Bốn', 'Bún Bò', 'Mực Hấp', 'Bún Bò']
Hai           0.785714  ['Nước Cam', 'Tương Ớt', 'Gà Quay']
Ba            0.857143  ['Bún Bò', 'Gỏi Cá']
Bốn           0.571429  ['Một', 'Một', 'Bún Bò', 'Một', 'Một', 'Bún Bò']
Năm           0.428571  ['Nước Cam', 'Nước Nắm', 'Nước Cam', 'Nước Nắm', 'Nước Nắm', 'Nước Nắm', 'Nước Nắm', 'Nước Cam']
Sáu           1         []
Bảy           0.785714  ['Gà Quay', 'Gà Quay', 'Gà Quay']
Tám           0.285714  ['Gỏi Cá', 'Cần', 'Nước Cam', 'Nước Cam', 'Cần', 'Cần', 'Nước Cam', 'Gỏi Cá', 'Cần', 'Nước Cam']
Chín          1         []
Mười          0.785714  ['Nước Tương', 'Gà Quay', 'Nước Tương']
Gà Quay       1         []
Bún Bò        1         []
Mỳ Quảng      1         []
Thịt Nướng    1         []
Gỏi Cá        0.928571  ['Một']
Mực Hấp       1         []
Canh Chua     1         []
Cá Hồi        1         []
Nước Cam      0.928571  ['Nước Nắm']
Tương Ớt      1         []
Nước Nắm      1         []
Nước Tương    1         []
Nước Suối     1         []
Rau Trộn      1         []
Hủy           1         []
Thêm          1         []
Cần           0.571429  ['Nước Cam', 'Nước Cam', 'Nước Cam', 'Tám', 'Một', 'Nước Cam']
Xem           0.928571  ['Gà Quay']
Nhân Viên     1         []
Menu          1         []
