Name          Accuracy  Classification error
----------  ----------  --------------------------------------------------------------------------------------------------
Một           0.642857  ['Bún Bò', 'Bốn', 'Bún Bò', 'Mực Hấp', 'Bún Bò']
Hai           0.785714  ['Nước Cam', 'Tương Ớt', 'Gà Quay']
Ba            0.785714  ['Gỏi Cá', 'Bún Bò', 'Mực Hấp']
Bốn           0.5       ['Một', 'Một', 'Bún Bò', 'Một', 'Một', 'Một', 'Bún Bò']
Năm           0.428571  ['Nước Cam', 'Nước Nắm', 'Nước Cam', 'Nước Nắm', 'Nước Nắm', 'Mỳ Quảng', 'Thịt Nướng', 'Nước Cam']
Sáu           1         []
Bảy           0.785714  ['Gà Quay', 'Gà Quay', 'Gà Quay']
Tám           0.357143  ['Gỏi Cá', 'Cần', 'Nước Cam', 'Nước Cam', 'Cần', 'Cần', 'Nước Cam', 'Cần', 'Nước Cam']
Chín          1         []
Mười          0.785714  ['Nước Tương', 'Gà Quay', 'Nước Tương']
Gà Quay       1         []
Bún Bò        1         []
Mỳ Quảng      1         []
Thịt Nướng    1         []
Gỏi Cá        1         []
Mực Hấp       1         []
Canh Chua     1         []
Cá Hồi        1         []
Nước Cam      0.928571  ['Nước Nắm']
Tương Ớt      1         []
Nước Nắm      1         []
Nước Tương    0.928571  ['Tương Ớt']
Nước Suối     1         []
Rau Trộn      1         []
Hủy           1         []
Thêm          1         []
Cần           0.571429  ['Nước Cam', 'Nước Cam', 'Nước Cam', 'Tám', 'Một', 'Nước Cam']
Xem           1         []
Nhân Viên     1         []
Menu          1         []
