Name          Accuracy  Classification error
----------  ----------  -----------------------------------
Một           0.714286  ['Bốn', 'Bốn', 'Mực Hấp', 'Bún Bò']
Hai           0.928571  ['Ba']
Ba            1         []
Bốn           0.857143  ['Một', 'Một']
Năm           0.857143  ['Mỳ Quảng', 'Mỳ Quảng']
Sáu           1         []
Bún Bò        1         []
Mỳ Quảng      1         []
Thịt Nướng    1         []
Mực Hấp       1         []
Tương Ớt      1         []
Nước Tương    0.928571  ['Thịt Nướng']
Hủy           0.928571  ['Nhân Viên']
Thêm          1         []
Cần           0.928571  ['Năm']
Xem           0.928571  ['Thêm']
Nhân Viên     1         []
Menu          1         []
