Name          Accuracy  Classification error
----------  ----------  ----------------------
Một           0.933333  ['Bốn']
Hai           0.866667  ['Tương Ớt', 'Bảy']
Ba            0.866667  ['Bún Bò', 'Bún Bò']
Bốn           1         []
Năm           0.933333  ['Một']
Sáu           1         []
Bảy           1         []
Bún Bò        0.928571  ['Bốn']
Mỳ Quảng      1         []
Thịt Nướng    1         []
Mực Hấp       1         []
Tương Ớt      0.928571  ['Bốn']
Nước Tương    1         []
Hủy           1         []
Thêm          1         []
Cần           0.928571  ['Bốn']
Xem           1         []
Nhân Viên     1         []
Menu          0.833333  ['Một']
