Name          Accuracy  Classification error
----------  ----------  ----------------------
Một           1         []
Hai           0.866667  ['Một', 'Bảy']
Ba            0.866667  ['Bún Bò', 'Bún Bò']
Bốn           1         []
Năm           0.933333  ['Mỳ Quảng']
Sáu           1         []
Bảy           1         []
Bún Bò        1         []
Mỳ Quảng      1         []
Thịt Nướng    1         []
Mực Hấp       1         []
Tương Ớt      0.933333  ['Bún Bò']
Nước Tương    1         []
Hủy           1         []
Thêm          1         []
Cần           1         []
Xem           1         []
Nhân Viên     0.933333  ['Mỳ Quảng']
Menu          0.833333  ['Mỳ Quảng']
