Name          Accuracy  Classification error
----------  ----------  ---------------------------
Một           0.857143  ['Bốn', 'Tương Ớt']
Hai           0.857143  ['Gỏi Cá', 'Gà Quay']
Ba            0.857143  ['Gỏi Cá', 'Bún Bò']
Bốn           0.785714  ['Bún Bò', 'Một', 'Bún Bò']
Năm           0.928571  ['Mỳ Quảng']
Sáu           1         []
Bảy           1         []
Tám           0.928571  ['Nước Cam']
Chín          1         []
Mười          0.928571  ['Gỏi Cá']
Gà Quay       1         []
Bún Bò        1         []
Mỳ Quảng      1         []
Thịt Nướng    1         []
Gỏi Cá        1         []
Mực Hấp       1         []
Canh Chua     1         []
Cá Hồi        1         []
Nước Cam      0.928571  ['Năm']
Tương Ớt      0.928571  ['Mười']
Nước Nắm      0.857143  ['Nước Cam', 'Năm']
Nước Tương    0.928571  ['Tương Ớt']
Nước Suối     1         []
Rau Trộn      1         []
Hủy           1         []
Thêm          1         []
Cần           1         []
Xem           1         []
Nhân Viên     1         []
Menu          0.75      ['Nhân Viên']
