Name          Accuracy  Classification error
----------  ----------  ------------------------------
Một           0.866667  ['Bốn', 'Bốn']
Hai           0.933333  ['Tương Ớt']
Ba            0.8       ['Bún Bò', 'Bún Bò', 'Bún Bò']
Bốn           1         []
Năm           0.933333  ['Mỳ Quảng']
Sáu           1         []
Bảy           1         []
Bún Bò        1         []
Mỳ Quảng      1         []
Thịt Nướng    0.928571  ['Tương Ớt']
Mực Hấp       1         []
Tương Ớt      1         []
Nước Tương    1         []
Hủy           1         []
Thêm          1         []
Cần           0.928571  ['Bốn']
Xem           1         []
Nhân Viên     1         []
Menu          0.833333  ['Một']
