D:\PBL5\101_HMMSpeechRecognition\venv\Scripts\python.exe D:\PBL5\101_HMMSpeechRecognition\hmm_train.py 
Total Word : 31
Một | Train:  27 | Test:  14
Hai | Train:  27 | Test:  14
Ba | Train:  27 | Test:  14
Bốn | Train:  27 | Test:  14
Năm | Train:  27 | Test:  14
Sáu | Train:  27 | Test:  14
Bảy | Train:  27 | Test:  14
Tám | Train:  27 | Test:  14
Chín | Train:  27 | Test:  14
Mười | Train:  27 | Test:  14
Gà Quay | Train:  27 | Test:  14
Bún Bò | Train:  27 | Test:  14
Mỳ Quảng | Train:  27 | Test:  14
Thịt Nướng | Train:  27 | Test:  14
Gỏi Cá | Train:  27 | Test:  14
Mực Hấp | Train:  27 | Test:  14
Canh Chua | Train:  27 | Test:  14
Cá Hồi | Train:  27 | Test:  14
Nước Cam | Train:  27 | Test:  14
Tương Ớt | Train:  27 | Test:  14
Nước Nắm | Train:  27 | Test:  14
Nước Tương | Train:  27 | Test:  14
Nước Suối | Train:  27 | Test:  14
Rau Trộn | Train:  27 | Test:  14
Hủy | Train:  27 | Test:  14
Thêm | Train:  27 | Test:  14
Muốn | Train:  27 | Test:  14
Cần | Train:  27 | Test:  14
Xem | Train:  27 | Test:  14
Nhân Viên | Train:  27 | Test:  14
Menu | Train:  8 | Test:  4
Train samples: 818
Test samples 424

------------------ Train :  Một --------------------
         1     -187600.2468             +nan
         2     -175794.7824      +11805.4643
         3     -172582.7709       +3212.0116
         4     -171688.5504        +894.2204
         5     -170930.4870        +758.0635
         6     -170464.0553        +466.4317
         7     -170122.7415        +341.3137
         8     -169598.5902        +524.1513
         9     -168769.9469        +828.6433
        10     -168295.2787        +474.6681
        11     -168007.3043        +287.9744
        12     -167792.8798        +214.4246
        13     -167679.5134        +113.3663
        14     -167604.1640         +75.3494
        15     -167446.0099        +158.1541
        16     -167292.5951        +153.4148
        17     -167211.3731         +81.2220
        18     -167159.8078         +51.5653
        19     -167108.9824         +50.8254
        20     -167063.4863         +45.4960
        21     -167034.3902         +29.0961
        22     -167025.2544          +9.1358
        23     -167022.9728          +2.2816
        24     -167021.7819          +1.1909
        25     -167019.3340          +2.4479
        26     -167014.5800          +4.7540
        27     -167011.9318          +2.6483
        28     -167008.8875          +3.0443
        29     -167006.2925          +2.5949
        30     -167004.8428          +1.4497
        31     -167002.0027          +2.8401
        32     -166998.1278          +3.8749
        33     -166991.8346          +6.2933
        34     -166988.6283          +3.2062
        35     -166987.4256          +1.2027
        36     -166986.5308          +0.8948
        37     -166985.5207          +1.0101
        38     -166984.7696          +0.7511
        39     -166984.3975          +0.3721
        40     -166984.2634          +0.1341
        41     -166984.2461          +0.0174
        42     -166984.2491          -0.0031
------------------- Done -----------------------

------------------ Train :  Hai --------------------
         1     -200119.0255             +nan
         2     -188866.6019      +11252.4235
         3     -183614.5613       +5252.0406
         4     -181597.5701       +2016.9912
         5     -181038.7965        +558.7736
         6     -180762.6632        +276.1333
         7     -180603.4093        +159.2539
         8     -180522.4027         +81.0065
         9     -180459.3310         +63.0717
        10     -180400.5781         +58.7530
        11     -180346.7179         +53.8602
        12     -180313.1562         +33.5617
        13     -180258.1350         +55.0212
        14     -180229.8889         +28.2460
        15     -180216.0907         +13.7982
        16     -180206.9827          +9.1080
        17     -180199.2126          +7.7701
        18     -180191.3845          +7.8282
        19     -180174.1692         +17.2152
        20     -180156.8637         +17.3055
        21     -180121.1004         +35.7634
        22     -180087.4241         +33.6762
        23     -180066.4775         +20.9466
        24     -180059.6192          +6.8583
        25     -180054.9676          +4.6516
        26     -180050.4508          +4.5169
        27     -180046.4472          +4.0036
        28     -180043.2750          +3.1722
        29     -180039.8785          +3.3965
        30     -180035.6826          +4.1959
        31     -180030.8935          +4.7891
        32     -180025.4656          +5.4279
        33     -180020.8882          +4.5774
        34     -180016.8373          +4.0509
        35     -180012.4486          +4.3887
        36     -180007.9356          +4.5131
        37     -180006.2395          +1.6960
        38     -180004.8211          +1.4185
        39     -180003.7492          +1.0719
        40     -180003.0501          +0.6991
        41     -180002.4502          +0.5999
        42     -180001.9229          +0.5274
        43     -180001.4735          +0.4494
        44     -180001.0821          +0.3914
        45     -180000.7343          +0.3477
        46     -180000.4182          +0.3161
        47     -180000.1195          +0.2987
        48     -179999.8252          +0.2943
        49     -179999.5294          +0.2958
        50     -179999.2418          +0.2876
        51     -179998.9844          +0.2574
        52     -179998.7686          +0.2158
        53     -179998.5865          +0.1821
        54     -179998.4279          +0.1586
        55     -179998.2893          +0.1386
