Name          Accuracy  Classification error
----------  ----------  --------------------------------------------------------------
Bún Bò        1         []
Mỳ Quảng      1         []
Thịt Nướng    1         []
Gỏi Cá        1         []
Mực Hấp       1         []
Canh Chua     1         []
Cá Hồi        1         []
Nước Cam      0.928571  ['Nước Nắm']
Tương Ớt      1         []
Nước Nắm      1         []
Nước Tương    0.928571  ['Tương Ớt']
Nước Suối     1         []
Rau Trộn      1         []
Hủy           1         []
Thêm          1         []
Cần           0.642857  ['Nước Cam', 'Nước Cam', 'Nước Cam', 'Nước Tương', 'Nước Cam']
Xem           1         []
Nhân Viên     1         []
Menu          1         []
